reff_id;coroner_name;report_sent_to;coroner_concerns;;;;;;;
Ref: 2023-0424;Philip Spinney;Devon County Council;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.The MATTERS OF CONCERN are as follows:(1) The evidence shows that there were opportunities to engage with Mr Huber and fully assess his risk and needs, these were not taken;;;;;;;
Ref: 2023-0429;Kirsty Gomersal;Department for Work and Pensions;The evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.†The MATTERS OF CONCERN are as follows:Current DWP procedures may not be practical for those with mental health illness and can exacerbate symptoms. I heard evidence that:††††† The number of and length of DWP forms required to be completed can be overwhelming for someone with a mental health illness. This is perpetuated if the applicant cannot get help to complete the paperwork.†††† There are long telephone queues to speak to a DWP advisor.†††† Having to travel long distances for appointments can be detrimental for those with a mental health illness.;;;;;;;
Ref: 2023-0390;Alison Mutch;NHS England;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you. † The MATTERS OF CONCERN are as follows. The inquest heard evidence of the distress caused to Holly and the impact on her health by the long waits to be seen by gastroenterologists and gynaecologists within the NHS. The evidence heard was that post- Covid, the waiting times to be seen in both specialities unless the referral was on the two-week cancer wait had grown significantly across England. As an illustration the inquest was told that pre-Covid, the average wait for a routine gynaecology referral was 18 weeks. Now in England the wait was often in excess of 12 months. Even an urgent referral would often involve a wait of over 40 weeks. This was leading to delays in diagnosis and treatment even in those with significant/severe health conditions.;;;;;;;
Ref: 2023-0374;Charlotte Keighley;Cheshire Police | National College of Policing | National Police Chief‚Äôs Council;During the course of the inquest, evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you. † The MATTERS OF CONCERN are as follows:(1) I received evidence confirming the absence of any agreed protocol relating to timescales for a suspect to be informed by the police of a decision to take no further action in respect of allegations made against them. At the conclusion of the Inquest, it was confirmed that this was the position both at the time of Mr Condrons death in November 2017 and at the conclusion of the Inquest in September 202†(2)† I received evidence that at a National Level, the Victims Code of Practice provides that a victim has a right to be informed of key decisions in an investigation within 5 working days, or within 1 working day if they are eligible for Enhanced Rights. This includes a decision by the police to take no further action in respect of the allegations they have made. There is no such code of practice in respect of informing suspects of the same.†(3)† I have concerns that further self-inflicted deaths will occur in circumstances where a suspect is not informed, within a specified time period, of a decision to take no further action in respect of allegations made against them.;;;;;;;
Ref: 2023-0383;Janine Richards;Tees, Esk and Wear Valleys NHS | Care Quality Commission;During the course of the investigation my inquiries revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you.MATTERS OF CONCERN are as follows.†(1)††The serious incident investigation by the Trust has been substantially delayed. Sarah died on the 10th of July 2022 and the Trust confirmed to the Coroners service that there was to be a serious incident investigation on the 26th July 202 The serious incident investigation remained unallocated and with no timeframe for completion for over 7 months and on the 13th of March 2023 as this remained the position I listed this case for Inquest on the 24th of April 202 On the 17th April 2023 I was alerted by deceaseds family to possible progress in respect of the serious incident investigation in this case, subsequent to their formal complaint to the Trust. After making enquiries of the Trust I was informed that the report would be available at the end of May 2023 and I therefore acceded to a family request to adjourn the final hearing given the short delay this would cause. On the 25th of April 2023 the Coronial service was informed that in fact that it was unlikely that the report would be finalised by May and would be likely end of July/August time. On the 26th of June I was informed that the report would now not be available until the òend of September/beginning of October and that the initial dates given were útoo ambitiousù. The case was listed to commence on the 16th of November 2023 on that basis. On the 28th of July the deceaseds family notified me of a likely further delay in the report being available due to the authors sick leave from work. The Trust offered reassurance that the report remained due òend of September/beginning of October. On the 28th of September a Pre Inquest Review Hearing was held in relation to a separate discrete issue and I was informed that the report was to be further delayed and would not be available until the end of October.†(2)† The NHS framework sets out clearly a timescale of 60 working days for the completion of investigation reports and highlights the importance of working in an open, honest and transparent way. One of the key underpinning principles in the management of all serious incidents is that they should be timely and responsive. The purpose of the investigation is to ensure that weaknesses in a system or process are identified to understand what went wrong, how it went wrong and what can be done to prevent similar incidents occurring again.†(3)††If the final version report is received by the end of October it will be some 15 months since Sarahs death and some 13 months outside the NHS framework. This is neither timely nor responsive.†(4)††I have previously issued a PFD report in relation to this issue as has the Senior Coroner for Durham and Darlington, Mr Chipperfield, who stated that Tees Esk and Wear Valleys NHS Foundation Trust routinely fails, to employ, in a timely way, nationally recognised process and procedure designed to prevent avoidable death. In permitting delay of úserious incidentù investigations, TEWV may: (i) permit lethal hazard to persist for longer than necessary;;;;;;;
Ref: 2023-0371;Hugh Bricknell;Hereford Medical Group;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.The MATTERS OF CONCERN are as follows.†(1)††† Triage documentation was not fully completed.†(2)†† The patient was not telephoned as requested and as advised they would be.†(3)†† The Inquest was advised the triage Doctor was not aware of the waiting time for a routine appointment (4-6 weeks) nor did he consider the transcript of the telephone call.†(4)† The Deceased died on the 5th June 202† The Inquest was told that a significant event meeting on the 9th August 2023 had indicated a review of protocol criteria for triaging patients with mental health problems was being undertaken . The Inquest was held on the 27th September 2023 no revised protocol was advised .;;;;;;;
Ref: 2023-0388;Rachael Griffin;Department of Health and Social Care;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you. The MATTERS OF CONCERN are as follows:†During the inquest evidence was heard that:i.†There is no regulation of counsellors in England and Wales and this could lead to future deaths.ii. [REDACTED] is a private counsellor with 30 years experience who provided support to Marnie prior to her death. She confirmed that counselling is not a regulated professional and there are courses available at a cost of £29 for a 6 week course, after which a person can receive a diploma and call themselves a counsellor. There is no requirement for them to do further training or continual professional development. There are no rules or regulations about how counsellors should operate, for example how they keep and share records.iii. Information shared by an individual to a counsellor may disclose a risk of self harm or suicide, or harm to another and there is no requirement for a counsellor to report that information to any third party.iv.†[REDACTED] gave evidence that the lack of regulation and licensing of counsellors could lead to a lot of damage being done to individuals seeking help and that this could present a risk to life as there is no regulation around informing medical professionals or others who can provided further support and care to the individual.v.†Evidence† was† also given by [REDACTED] , one of the GPs who provided care to Marnie, that receipt of records from others such as counsellors, especially at the end of the counselling, would assist her in providing care to patients. I have concerns with regard to the following:i.††There is a risk of future deaths occurring due to the lack of regulation of the counselling profession.;;;;;;;
Ref: 2023-0409;Graeme Hughes;Department for Digital, Culture, Media and Sport | Ofcom | Welsh Health Minister ;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.The MATTERS OF CONCERN are as follows.The evidence revealed that as from at least February 2020, BM had registered with; potentially similar self-harm &amp; suicide ‚Äúfacilitating, or promoting‚Äù sites are accessible/available to those, such as BM who are vulnerable, due to their diagnosed, or otherwise mental illness &amp; provided with an outlet/forum to source &amp; acquire information that potentially equips them with the knowledge &amp; means to either complete suicide, or place them in grave/greater danger of doing so.<br><em>¬†</em><br>I believe that consideration ought to be given to the impact such access/availability has upon those vulnerable individuals researching/contemplating acts of self-harm &amp; whether, &amp;" what action(s) may be taken to remove/limit/mitigate/educate such access/availability.</td>"""
Ref: 2023-0391;Elizabeth Didcock;Nottinghamshire Healthcare NHS Foundation Trust;During the course of the inquest the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you. † The MATTERS OF CONCERN are as follows †††††† There was a limited risk assessment and risk management plan documented for Gerard on ward B2 now Beech ward†††††† There was an inadequate door board system for monitoring the return of patients after unescorted leave on ward B The same arrangements remain currently, despite the ward move to Beech ward on new premises†††††† There was extremely limited family and carer involvement in Gerards care, with no involvement in the care plan, nor involvement in ward rounds on ward B2 now Beech ward†††††† There was limited awareness of the ligature risk reduction pathway by staff on B2 now Beech ward†I am not reassured that necessary actions to address these serious issues identified are in place.;;;;;;;
Ref: 2023-0410;Priya Malhotra;Medicines and Healthcare products Regulatory Agency;During the inquest, the evidence revealed matters giving rise to concern. In my opinion there is a risk that future deaths could occur unless action is taken. In the circumstances it is my statutory duty to report to you. † The MATTERS OF CONCERN are as follows.The absence of intravenous anti-depressant medication for those in need, who cannot for physical reasons take the medication orally. The evidence I heard confirmed the existence of intravenous anti-depressants in Europe but not in the United Kingdom.;;;;;;;
Ref: 2023-0361;Jenny Goldring;HMP Belmarsh | Practice Plus Group | Home Office | HM Prison and Probation Service | Ministry of Justice;During the Inquest, the evidence revealed matters giving rise to concern. A number of these have been addressed and do not require a PFD report.†I have also considered a report by HM Chief Inspector of Prisons, úThe experience of immigration detainees in prisons,ù dated September 202 Some of the key concerns in that report mirror concerns I came to independently having heard the evidence in this Inquest. Published responses to the report suggest some concerns are being addressed, albeit it is not clear if they have been resolved.†In my opinion there is a risk that future deaths will occur unless action is taken. In the circumstances it is my statutory duty to report to you.MATTERS OF CONCERN are as follows:††††† Although the specific issues below were not left to the jury as úcausative mattersù in this Inquest, I am concerned about the potential impact of these issues in other cases.Timing of IS91 notification.††††† The timing of the notification to Mr Santos by the SSHD that he was not to be released at the end of his custodial sentence but was to be held on immigration detention pending a decision on deportation. The SSHD target for notification is 30 days prior to release. In this case it was 8 days late. I heard PFD evidence that this 30-day target is not met in 40% of cases and that 83% of cases are notified within 7 days of the end of the sentence. I am concerned at the potential uncertainty and distress caused to Foreign National Offenders (úFNOsù) by notification at this stage.Signposting legal advice about immigration matters.††††† Mr Santos signed a form on 24 October 2020 to receive support from a charity supporting immigration detainees. Bail forms were sent to them by the prison on 29 October 2020.††††† I am concerned as to how access to legal advice is facilitated and signposted.††††† In PFD evidence, I was informed that FNOs (in a similar position to Mr Santos) are now entitled to 30 minutes of free legal advice following a High Court decision in February 202 In HMP Belmarsh, this entitlement is displayed on a notice in each Houseblock. I am concerned that displaying a notice is insufficient to draw this entitlement to the attention of FNOs. I do not know if this is a wider issue in other prisons. Understanding of immigration status, including appeal and bail procedures and is complex. Access to legal advice is vital to prevent confusion.Communication between agencies.††††† Communication issues between the agencies dealing with immigration and sentence planning may lead to confusion and uncertainty for FNOs.††††† I appreciate that any legal advice to FNOs should be from a legal adviser. I am encouraged that the probation service (who employ community offender managers) is seeking to develop a cohort of probation officers specialising in FNOs and immigration. There are now 201 SPOCs across 12 regions and a hub lead developing this model and leading engagement with the SSHD. There is no such model in the prison in respect of úprison offender managersù who also liaise with the SSHD about FNOs.†Delays by SSHD and Probation and failure to obtain information.††††† I am concerned at the potential impact of delays/failure to obtain information in other cases. In Mr Santos case there were delays by probation in allocating a community offender manager and providing an up-to-date OASYS report. There were also delays by the SSHD progressing Mr Santos case, including issue of the Stage 2 letter, failure to obtain medical records and delay in requesting the OASYS report.††††† I am encouraged that there is now a centralised system (and form) for the SSHD to request OASYS reports from probation although it is not clear the extent to which requests are going through this system. Consent to obtain medical information is sought from FNOs at an induction meeting by Immigration Prison Teams (úIPTsù). Further IPT officers attend prisons and play a key role in obtaining this type of information. However it is not clear what systems are in place to facilitate the obtaining of medical information.The SSHD Internal report0.††† The SSHD disclosed an Internal report into Mr Santos case midway through the Inquest, which was not on his Home Office file. The lawyers representing the SSHD were unaware of this report. The head of FNO Returns Command only became aware of it the preceding week and understood it had been disclosed.1††† The report detailed delays and issues in Mr Santos case and the SSHD then made formal admissions of the relevant (non-causative) failures which were recorded by the jury in the Record of Inquest at my direction.1††† This report was dated February 2021 and listed action points for the relevant department. Although I am told that these are now being addressed, I am concerned that important learning points (which could prevent future deaths) were not disseminated and actioned as they should have been.Opening cell doors at night1††† In evidence there was a continued misunderstanding that the policy did not apply to Operational Support Grade (OSG) officers and it was understood that they should never open cell doors at night. This was despite the PPO report dated December 2021 (at paragraph 73) requesting this be addresses 1††† The prison stated in PFD evidence that all staff will be instructed as to the policy in terms of opening cell doors at night (which requires a dynamic risk assessment).1††† I remain concerned that this appears to be a longstanding belief held by experienced officers.;;;;;;;
